                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                  0.649,                0.40173,                0.93284,                0.96645,                0.94274,                0.97389,                0.79376,                0.79729,                0.36346,                 1.0069,               0.004159,               0.004159,               0.004159
                     61,                0.63485,                0.39857,                0.92843,                0.96985,                0.95433,                0.97772,                0.79386,                0.80043,                 0.3547,                 1.0078,                0.00406,                0.00406,                0.00406
                     62,                0.63738,                0.40256,                0.92653,                 0.9596,                0.95756,                0.97539,                0.79525,                0.79599,                0.34953,                 1.0061,               0.003961,               0.003961,               0.003961
                     63,                0.62707,                0.40064,                 0.9276,                0.96731,                0.94951,                 0.9769,                0.79656,                0.79356,                0.35276,                 1.0054,               0.003862,               0.003862,               0.003862
                     64,                 0.6216,                0.39284,                0.92529,                0.96673,                0.94482,                0.97703,                 0.7967,                0.80073,                0.36125,                 1.0089,               0.003763,               0.003763,               0.003763
                     65,                0.62184,                0.39248,                 0.9261,                0.96266,                0.95128,                0.97698,                0.79329,                0.81623,                0.36126,                 1.0167,               0.003664,               0.003664,               0.003664
                     66,                0.62387,                0.39742,                0.92469,                0.96973,                 0.9547,                0.97756,                0.79997,                0.79704,                0.34402,                 1.0085,               0.003565,               0.003565,               0.003565
                     67,                0.61795,                0.39552,                0.92049,                0.96568,                0.95726,                0.97727,                0.79359,                   0.81,                0.35029,                 1.0177,               0.003466,               0.003466,               0.003466
                     68,                0.60701,                0.38382,                0.92134,                0.97117,                0.95516,                0.97715,                0.80059,                 0.7906,                 0.3431,                 1.0055,               0.003367,               0.003367,               0.003367
                     69,                0.60646,                0.37873,                0.91816,                0.97511,                0.95502,                0.97672,                0.79882,                0.79901,                0.34055,                 1.0081,               0.003268,               0.003268,               0.003268
                     70,                0.60628,                0.38056,                0.91899,                0.96596,                0.96264,                0.97865,                0.79951,                0.79412,                0.33707,                 1.0079,               0.003169,               0.003169,               0.003169
                     71,                0.59935,                0.37567,                 0.9135,                 0.9724,                0.94952,                0.97694,                0.79917,                0.79553,                0.35057,                 1.0094,                0.00307,                0.00307,                0.00307
                     72,                0.59631,                0.37717,                0.91619,                0.96572,                0.95156,                0.97518,                0.79614,                0.79837,                0.34922,                 1.0089,               0.002971,               0.002971,               0.002971
                     73,                0.59166,                0.37447,                0.91667,                0.97342,                0.94792,                0.97682,                0.79572,                0.80395,                 0.3465,                 1.0154,               0.002872,               0.002872,               0.002872
                     74,                0.59292,                0.37242,                0.91381,                0.97105,                0.94399,                0.97605,                 0.7948,                0.80074,                0.35131,                 1.0132,               0.002773,               0.002773,               0.002773
                     75,                 0.5812,                0.36454,                0.90948,                0.97319,                0.94745,                0.97588,                 0.7979,                0.80261,                0.34588,                 1.0119,               0.002674,               0.002674,               0.002674
                     76,                0.57598,                0.36568,                0.90864,                0.97105,                0.94835,                0.97622,                0.79643,                0.80802,                0.34614,                 1.0161,               0.002575,               0.002575,               0.002575
                     77,                0.57153,                0.35893,                0.90544,                0.97604,                0.94782,                0.97599,                0.79535,                0.80666,                0.34997,                 1.0149,               0.002476,               0.002476,               0.002476
                     78,                0.56948,                0.35683,                0.90508,                0.97255,                 0.9535,                0.97611,                  0.797,                0.79939,                0.34002,                 1.0098,               0.002377,               0.002377,               0.002377
                     79,                0.56754,                0.35413,                0.90131,                0.97343,                0.95361,                 0.9764,                0.79966,                0.80097,                0.34196,                 1.0135,               0.002278,               0.002278,               0.002278
                     80,                0.55919,                0.34868,                0.89714,                0.97008,                0.95241,                0.97709,                0.80017,                0.80442,                0.34311,                 1.0152,               0.002179,               0.002179,               0.002179
                     81,                0.55432,                0.34627,                0.89957,                0.96527,                0.95897,                0.97605,                0.79791,                0.79913,                0.33989,                 1.0142,                0.00208,                0.00208,                0.00208
                     82,                0.55307,                0.35069,                0.90157,                0.96867,                0.95584,                0.97715,                0.79752,                0.80627,                0.34121,                 1.0176,               0.001981,               0.001981,               0.001981
                     83,                0.54949,                0.34826,                0.89916,                0.96828,                 0.9586,                0.97671,                0.79768,                0.80415,                0.34386,                 1.0172,               0.001882,               0.001882,               0.001882
                     84,                0.55074,                0.35292,                0.90008,                0.97022,                0.95713,                0.97673,                0.79561,                0.80873,                0.34093,                 1.0195,               0.001783,               0.001783,               0.001783
                     85,                0.53939,                0.33745,                0.89027,                0.96712,                0.95935,                0.97713,                0.79795,                0.80903,                0.33868,                 1.0193,               0.001684,               0.001684,               0.001684
                     86,                0.53497,                0.33575,                 0.8919,                0.97583,                0.95313,                0.97773,                0.79901,                0.80194,                 0.3343,                  1.016,               0.001585,               0.001585,               0.001585
                     87,                0.53905,                0.34015,                0.89063,                0.96614,                 0.9581,                0.97691,                0.79582,                0.80722,                0.34222,                 1.0214,               0.001486,               0.001486,               0.001486
                     88,                0.53375,                0.33737,                0.89245,                0.96846,                0.95587,                0.97708,                0.79549,                0.80943,                0.33841,                 1.0245,               0.001387,               0.001387,               0.001387
                     89,                0.53774,                 0.3447,                0.89654,                0.97271,                0.95123,                0.97745,                0.79689,                0.80849,                0.34142,                 1.0247,               0.001288,               0.001288,               0.001288
